turn,text,response,predict_domain,target_domain,predict_intent,target_intent,predict_faq,target_faq,predict_entities,target_entities,predict_action,target_action,domain_correct,intent_correct,entities_correct,faq_correct,action_correct
0,hi,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_greet,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,xin chào,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_greet,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,chào nhá,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_greet,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,hê lô bot,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_greet,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,chào buổi sáng,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_greet,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,chào timi nhá,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_greet,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,2222,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_greet,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,bye nha,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_bye,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,gặp lại sau nha,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_bye,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,tạm biệt,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_bye,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,mình off đây,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_bye,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,chào tạm biệt nha,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_bye,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,bye bye,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_bye,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,hẹn gặp lại,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_bye,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,nhất trí,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_agree,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,ok luôn,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_agree,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,đồng ý nha,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_agree,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,mình nhất trí,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_agree,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,chính xác rùi đấy,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_agree,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,tôi đồng tình,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_agree,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,phải rùi đấy,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_agree,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,không phải,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_deny,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,không được đâu,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_deny,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,mình không chấp nhận nha,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_deny,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
0,nhầm rùi,,ftech_assistant,ftech_assistant,faq,faq,unknown,faq/general_deny,,unknown,None,unknown,Correct,Correct,Wrong,Wrong,Correct
